date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:32	63376/63376	---M--	200	added ('OK')	font/woff2	etag:%2261223e9e-f790%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.woff2	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.woff2	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:32	73920/73920	---M--	200	added ('OK')	application/font-woff	etag:%2261223e9e-120c0%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.woff	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.woff	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:33	622420/622420	---M-Z	200	added ('OK')	image/svg+xml	etag:%2261223e9e-97f54%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.svg	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.svg	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:34	114816/114816	---M-Z	200	added ('OK')	application/octet-stream	etag:%2261223e9e-1c080%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.ttf	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-brands-400.ttf	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:34	40744/40744	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-9f28%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.eot	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:34	40744/40744	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-9f28%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.eot?	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400d41d.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:34	14952/14952	---M--	200	added ('OK')	font/woff2	etag:%2261223e9e-3a68%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.woff2	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.woff2	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:35	18212/18212	---M--	200	added ('OK')	application/font-woff	etag:%2261223e9e-4724%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.woff	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.woff	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:35	40516/40516	---M-Z	200	added ('OK')	application/octet-stream	etag:%2261223e9e-9e44%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.ttf	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.ttf	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:36	141551/141551	---M-Z	200	added ('OK')	image/svg+xml	etag:%2261223e9e-228ef%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.svg	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-regular-400.svg	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:36	160768/160768	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-27400%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.eot	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:36	160768/160768	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-27400%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.eot?	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900d41d.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:36	59572/59572	---M--	200	added ('OK')	font/woff2	etag:%2261223e9e-e8b4%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.woff2	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.woff2	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:37	76632/76632	---M--	200	added ('OK')	application/font-woff	etag:%2261223e9e-12b58%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.woff	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.woff	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
